User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0x5e20a110b48e9f62f0a0ee54742457644f1a71cc,76,0.00,8155.75,9 | 14 | 9,19 | 15 | 8,2023-04-20,2023-11-13,false
0xbb4ef912c6fc9474b8a1256d2c3f339a4b6b4362,29,0.00,1614.36,7 | 12 | 8,9 | 8 | 6,2023-04-17,2023-10-18,true
0x7cfef3e40339abcfd6bff0245c615b23e3912d91,16,0.00,1093.33,7 | 12 | 7,8 | 8 | 6,2023-04-17,2023-10-19,true
0xafbcbbed1b4a1f012b3bb4ef152e2414697e58f2,9,0.00,210.32,5 | 8 | 5,7 | 6 | 4,2023-05-25,2023-11-07,true
0x881592f1eb1000325820482895788243866627ee,16,0.00,1264.42,7 | 11 | 7,8 | 8 | 6,2023-04-17,2023-10-18,true
0x603cf7db22846112a358f6ea07ec29712856dd6e,27,0.00,2261.30,8 | 13 | 8,9 | 8 | 6,2023-04-17,2023-10-18,true
0x8d47878613344969e34e26f06307348946b79e7d,70,0.00,6318.38,9 | 15 | 9,18 | 14 | 8,2023-04-20,2023-11-13,false
0x3bc407f6b7d8eb9bfc28b68305f34a367ac310f5,26,0.00,539.35,6 | 11 | 8,6 | 5 | 4,2023-05-25,2023-11-07,true
0xd03d6cbd59ee03db9f7bbb11dadf84acefe6c02f,86,0.01,6733.03,10 | 17 | 9,20 | 15 | 8,2023-04-04,2023-11-13,false
0x77f754322ec9dfe00fc751a98cf208ea6b77dd4d,27,0.00,503.82,6 | 11 | 9,7 | 6 | 5,2023-05-25,2023-11-07,true
0xc5ec09247b8bade644c11784340255e6ead08f4b,16,0.00,1162.94,7 | 11 | 7,7 | 7 | 6,2023-04-17,2023-10-19,true
0x6b0c39bbbe40a95e23ec558fc31741820c93a9bb,8,0.00,0.98,4 | 6 | 6,6 | 6 | 5,2023-05-25,2023-11-07,true
0x1b53045e3f6d3307c03301449b56273d635b743b,26,0.00,577.64,6 | 11 | 8,6 | 5 | 4,2023-05-25,2023-11-07,true
0xbe25a24dc935da8e3917223046aff212f6fa26c9,29,0.00,589.96,6 | 11 | 9,7 | 6 | 5,2023-05-25,2023-11-07,true
0x0d39ed1beaa27c42c33dbfda1620806ee990637a,11,0.00,105.24,6 | 9 | 7,8 | 7 | 5,2023-05-25,2023-11-07,true
0xc4e5d9bceafce70044144e4261ee30a3e8ba0813,15,0.00,1164.27,7 | 10 | 6,7 | 7 | 5,2023-04-17,2023-10-18,true
0x4a73fb0f6d7516866cb1a8c7a01570f963f67b47,21,0.00,228.46,6 | 10 | 8,8 | 7 | 5,2023-05-25,2023-11-07,true
0xdf8cf771c8a1f5be818bf5d875986d3d60c92ab4,23,0.00,1906.72,8 | 11 | 7,8 | 7 | 5,2023-04-17,2023-10-19,true
0xe82fcecba41956070616957a4bac88c05edeb20a,27,0.00,583.32,6 | 11 | 9,6 | 5 | 4,2023-05-25,2023-11-07,true
0xa5c9c98c38742db9bc9d20687d82044810a5e9d1,28,0.00,418.14,6 | 11 | 9,7 | 6 | 5,2023-05-25,2023-11-07,true
0x7207ffa8e2a5518a686af230678c8a3f755db648,97,0.00,6684.10,10 | 15 | 9,18 | 15 | 8,2023-04-20,2023-11-13,false
0xe8d2cf7c92aea8720fe4b999f378930914ebf7cb,25,0.00,434.39,6 | 11 | 8,6 | 5 | 4,2023-05-25,2023-11-07,true
0xfd7f6df8ec6a5c8989a1cb8352ee21bfa505f18b,29,0.00,291.90,10 | 14 | 8,16 | 11 | 8,2023-04-20,2023-11-13,false
